ident(String),type(String),name(String),elevation_ft(Integer),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String)
3FL5,small_airport,Mills Ranch South Airport,60,NA,US,US-FL,Kenansville,3FL5,3FL5,"27.77829933166504, -80.9218978881836"
3FL6,heliport,Wink Tv Heliport,6,NA,US,US-FL,Fort Myers,3FL6,3FL6,"26.650800704956055, -81.85559844970703"
3FL7,heliport,Mack Bayor Airheart Heliport,17,NA,US,US-FL,Destin,3FL7,3FL7,"30.377199172973633, -86.30560302734375"
3FL8,small_airport,Hart Airport,125,NA,US,US-FL,Malone,3FL8,3FL8,"30.946300506591797, -85.2738037109375"
3FL9,heliport,Sun N Lake Heliport,156,NA,US,US-FL,Sebring,3FL9,3FL9,"27.53860092163086, -81.50980377197266"
3G8,small_airport,Gen-Airpark,645,NA,US,US-IL,Geneseo,3G8,3G8,"41.43980026245117, -90.11009979248047"
3G9,small_airport,Butler Farm Show Airport,1333,NA,US,US-PA,Butler,3G9,3G9,"40.85260009765625, -79.97480010986328"
3GA0,small_airport,Grant Airport,790,NA,US,US-GA,Stockbridge,3GA0,3GA0,"33.52750015258789, -84.15689849853516"
3GA1,small_airport,Prattsburg Airport,554,NA,US,US-GA,Talbotton,3GA1,3GA1,"32.725101470947266, -84.3582992553711"
3GA2,heliport,Tanner Medical Center Heliport,1062,NA,US,US-GA,Carrollton,3GA2,3GA2,"33.570098876953125, -85.07489776611328"
3GA3,small_airport,Warren Field,1866,NA,US,US-GA,Lookout Mountain,3GA3,3GA3,"34.871111, -85.4375"
3GA4,heliport,Stonewall Heliport,1020,NA,US,US-GA,Union City,3GA4,3GA4,"33.60089874267578, -84.54910278320312"
3GA5,small_airport,Diamond R Ranch Airport,1213,NA,US,US-GA,Villa Rica,3GA5,3GA5,"33.63710021972656, -84.93879699707031"
3GA6,small_airport,Erlen Airport,1044,NA,US,US-GA,Whitesburg,3GA6,3GA6,"33.57059860229492, -84.89830017089844"
3GA7,small_airport,Rhodes Air Ranch Airport,195,NA,US,US-GA,Waynesboro,3GA7,3GA7,"33.162498474121094, -81.76830291748047"
3GA8,small_airport,Cauley's Airstrip,251,NA,US,US-GA,Soperton,3GA8,3GA8,"32.32939910888672, -82.63500213623047"
3GA9,small_airport,Vintage Field,873,NA,US,US-GA,Zebulon,3GA9,3GA9,"33.13349914550781, -84.37740325927734"
3GE1,heliport,Okefenokee Heliport,125,NA,US,US-GA,Folkston,3GE1,3GE1,"30.737499237060547, -82.12670135498047"
3GE2,heliport,Williams Heliport,990,NA,US,US-GA,Stone Mountain,3GE2,3GE2,"33.82080078125, -84.12809753417969"
3GE3,small_airport,Broad River Air Park,690,NA,US,US-GA,Carnesville,3GE3,3GE3,"34.41189956665039, -83.18419647216797"
3GE4,small_airport,Fox Mountain Airport,925,NA,US,US-GA,Rising Fawn,3GE4,3GE4,"34.72999954223633, -85.54190063476562"
3GE5,heliport,Rockdale Hospital Heliport,865,NA,US,US-GA,Conyers,3GE5,3GE5,"33.68050003051758, -84.00260162353516"
3GE6,heliport,Wellstar Douglas Hospital Heliport,1120,NA,US,US-GA,Douglasville,3GE6,3GE6,"33.73889923095703, -84.73280334472656"
3GE7,small_airport,Eden Field,30,NA,US,US-GA,Darien,3GE7,3GE7,"31.412700653076172, -81.43730163574219"
3GE8,small_airport,Prater Ranch Airport,460,NA,US,US-GA,Lincolnton,3GE8,3GE8,"33.84349822998047, -82.47899627685547"
3GE9,small_airport,Holly Farm Airport,900,NA,US,US-GA,Woodstock,3GE9,3GE9,"34.13999938964844, -84.37809753417969"
3H3,seaplane_base,Cottonwood Lake Seaplane Base,300,NA,US,US-AK,Wasilla,3H3,3H3,"61.5975990295, -149.315994263"
3H5,small_airport,Erie Air Park,600,NA,US,US-IL,Erie,3H5,3H5,"41.67919921875, -90.07869720458984"
3I1,closed,Elwood Airport,866,NA,US,US-IN,Elwood,,,"40.2528, -85.833298"
3IA0,heliport,Washington County Hospital Heliport,760,NA,US,US-IA,Washington,3IA0,3IA0,"41.28919982910156, -91.68769836425781"
3IA1,small_airport,Whites Airport,1050,NA,US,US-IA,Melbourne,3IA1,3IA1,"41.96080017089844, -93.11990356445312"
3IA2,heliport,Greene County Medical Center Heliport,1050,NA,US,US-IA,Jefferson,3IA2,3IA2,"42.016700744628906, -94.38770294189453"
3IA3,heliport,Des Moines General Hospital Heliport,889,NA,US,US-IA,Des Moines,3IA3,3IA3,"41.594200134277344, -93.60079956054688"
3IA4,small_airport,Robinson Airport,1000,NA,US,US-IA,Missouri Valley,3IA4,3IA4,"41.531898498535156, -95.94200134277344"
3IA5,small_airport,Kerr Airport,1450,NA,US,US-IA,Marcus,3IA5,3IA5,"42.877201080322266, -95.88249969482422"
3IA6,heliport,Ottumwa Hospital Heliport,845,NA,US,US-IA,Ottumwa,3IA6,3IA6,"41.028900146484375, -92.39070129394531"
3IA7,heliport,Daec Heliport,753,NA,US,US-IA,Palo,3IA7,3IA7,"42.101898193359375, -91.777099609375"
3IA8,heliport,Kah Heliport,617,NA,US,US-IA,Keokuk,3IA8,3IA8,"40.40700149536133, -91.38710021972656"
3IA9,small_airport,Rake Airport,1180,NA,US,US-IA,Rake,3IA9,3IA9,"43.475799560546875, -93.9072036743164"
3ID2,small_airport,The Last Resort Airport,3155,NA,US,US-ID,Weippe,3ID2,3ID2,"46.350675, -115.977"
3ID4,heliport,Health Center Heliport,2560,NA,US,US-ID,Glenns Ferry,3ID4,3ID4,"42.9541015625, -115.30500030517578"
3ID7,small_airport,Indian Creek Ranch Airport,2674,NA,US,US-ID,Kuna,3ID7,3ID7,"43.47600173950195, -116.40399932861328"
3IG3,small_airport,Terry's Airport,850,NA,US,US-IN,Columbia City,3IG3,3IG3,"41.17020034790039, -85.42160034179688"
3II0,small_airport,Fremont (Murphy) Airport,1050,NA,US,US-IN,Fremont,3II0,3II0,"41.6910848513, -84.864256382"
3II1,small_airport,Shenandoah Flying Field,720,NA,US,US-IN,Gosport,3II1,3II1,"39.41669845581055, -86.63580322265625"
3II2,small_airport,Fifer Field,445,NA,US,US-IN,Griffin,3II2,3II2,"38.212799072265625, -87.91950225830078"
3II3,small_airport,Basting Airport,755,NA,US,US-IN,Woodburn,3II3,3II3,"41.08700180053711, -84.84110260009766"
3II4,heliport,Lafayette Home Hospital Heliport,680,NA,US,US-IN,Lafayette,3II4,3II4,"40.4197998046875, -86.86669921875"
3II5,small_airport,Stout Field,700,NA,US,US-IN,Medaryville,3II5,3II5,"41.083900451660156, -86.77330017089844"
3II6,heliport,Hawthorn Mine Heliport,533,NA,US,US-IN,Pleasantville,3II6,3II6,"38.93199920654297, -87.2406005859375"
3II7,heliport,Army Aviation Support Facility Heliport,790,NA,US,US-IN,Shelbyville,3II7,3II7,"39.58340072631836, -85.80000305175781"
3II8,small_airport,Birkey Private Airport,796,NA,US,US-IN,Bremen,3II8,3II8,"41.442298889160156, -86.26110076904297"
3II9,small_airport,Dick's Strip,850,NA,US,US-IN,Arcola,3II9,3II9,"41.0973014831543, -85.24220275878906"
3IL0,heliport,Patten Industries Heliport,695,NA,US,US-IL,Elmhurst,3IL0,3IL0,"41.9229292062, -87.96278245750001"
3IL1,small_airport,Silver Creek Gliderport,595,NA,US,US-IL,New Douglas,3IL1,3IL1,"38.9253005981, -89.66220092770001"
3IL2,small_airport,Sweedler Airport,669,NA,US,US-IL,Elwood,3IL2,3IL2,"41.41230010986328, -88.04869842529297"
3IL3,heliport,Stillman Fire Heliport,720,NA,US,US-IL,Stillman Valley,3IL3,3IL3,"42.10559844970703, -89.18329620361328"
3IL4,heliport,Maaks Heliport,527,NA,US,US-IL,Middletown,3IL4,3IL4,"40.13140106201172, -89.59320068359375"
3IL5,heliport,Illinois State Fair Heliport,580,NA,US,US-IL,Springfield,3IL5,3IL5,"39.83580017089844, -89.63970184326172"
3IL6,heliport,Pinckneyville Correctional Center Heliport,463,NA,US,US-IL,Pinckneyville,3IL6,3IL6,"38.08330154418945, -89.31999969482422"
3IL7,small_airport,Home Free Airport,819,NA,US,US-IL,Steward,3IL7,3IL7,"41.80339813232422, -89.02179718017578"
3IL8,closed,Evanston Hospital-Golf Course Site Heliport,610,NA,US,US-IL,Evanston,,,"42.064804, -87.684502"
3IL9,small_airport,Sugar Creek Farm Airport,600,NA,US,US-IL,Atlanta,3IL9,3IL9,"40.26940155029297, -89.30220031738281"
3IN2,small_airport,Dupouy Airport,860,NA,US,US-IN,Point Isabel,3IN2,3IN2,"40.4192008972168, -85.8561019897461"
3IN3,small_airport,Carlson Farm Airport,690,NA,US,US-IN,Portage,3IN3,3IN3,"41.523101806640625, -87.16390228271484"
3IN4,small_airport,Johnson Airport,830,NA,US,US-IN,Markle,3IN4,3IN4,"40.775001525878906, -85.33889770507812"
3IN5,small_airport,Pippenger Airport,980,NA,US,US-IN,Albion,3IN5,3IN5,"41.316898345947266, -85.37139892578125"
3IN6,small_airport,Holloway Field,750,NA,US,US-IN,New Washington,3IN6,3IN6,"38.588333, -85.505833"
3IN7,small_airport,Chain-O-Lakes Airport,743,NA,US,US-IN,South Bend,3IN7,3IN7,"41.662498474121094, -86.35420227050781"
3IN8,small_airport,Ddt Field,823,NA,US,US-IN,Culver,3IN8,3IN8,"41.2047004699707, -86.3458023071289"
3IN9,small_airport,Thomas Airport,890,NA,US,US-IN,Cicero,3IN9,3IN9,"40.15140151977539, -86.11920166015625"
3IS1,small_airport,Mc Coy Airport,615,NA,US,US-IL,Blue Mound,3IS1,3IS1,"39.7000007629, -89.2089996338"
3IS2,small_airport,Earp Airport,740,NA,US,US-IL,Roseville,3IS2,3IS2,"40.7406005859375, -90.66960144042969"
3IS3,small_airport,Noland RLA Restricted Landing Area,600,NA,US,US-IL,Blue Mound,3IS3,3IS3,"39.7333984375, -89.150100708"
3IS4,small_airport,Merkle Airport,970,NA,US,US-IL,Hanover,3IS4,3IS4,"42.28889846801758, -90.34539794921875"
3IS5,small_airport,Holmes Southeast Airport,590,NA,US,US-IL,Pawnee,3IS5,3IS5,"39.685394, -89.598722"
3IS6,small_airport,Davy Jones /Private/ Airport,500,NA,US,US-IL,Bonnie,3IS6,3IS6,"38.2228012085, -88.8827972412"
3IS7,small_airport,Foote Airport,650,NA,US,US-IL,Wenona,3IS7,3IS7,"41.086700439453125, -89.09590148925781"
3IS8,small_airport,Rinkenberger Restricted Landing Area,808,NA,US,US-IL,Bradford,3IS8,3IS8,"41.230899810800004, -89.61569976810001"
3IS9,heliport,Grand Tower Heliport,370,NA,US,US-IL,Grand Tower,3IS9,3IS9,"37.6328010559082, -89.5062026977539"
3J6,small_airport,Davis Field,68,NA,US,US-GA,Folkston,3J6,3J6,"30.797500610351562, -82.02760314941406"
3JY2,heliport,Cherry Hill Heliport,3,NA,US,US-NJ,Parsippany-Troy Hills,3JY2,3JY2,"40.8705, -74.44325"
3K0,heliport,Skilak Blm Helistop,275,NA,US,US-AK,Skilak Guard Station,3K0,3K0,"60.48030090332031, -150.4550018310547"
3K4,closed,Hillsboro Municipal Airport,637,NA,US,US-IL,Hillsboro,,,"39.1445, -89.457"
3K9,seaplane_base,Upper Wasilla Lake Seaplane Base,330,NA,US,US-AK,Wasilla,3K9,3K9,"61.5886993408, -149.384994507"
3KK,small_airport,Kankakee Airport,625,NA,US,US-IL,Kankakee,3KK,3KK,"41.099998474121094, -87.91670227050781"
3KS0,heliport,Stormont-Vail Hospital Heliport,920,NA,US,US-KS,Topeka,3KS0,3KS0,"39.0525016784668, -95.69550323486328"
3KS1,small_airport,Mesa Verde Airport,1080,NA,US,US-KS,Topeka,3KS1,3KS1,"39.155601501464844, -95.74330139160156"
3KS3,small_airport,Rogers Airport,1210,NA,US,US-KS,Udall,3KS3,3KS3,"37.400001525878906, -97.19200134277344"
3KS4,small_airport,Eveleigh Farms Airport,3207,NA,US,US-KS,Ulysses,3KS4,3KS4,"37.767799377441406, -101.43499755859375"
3KS5,small_airport,High Point Airport,1395,NA,US,US-KS,Valley Center,3KS5,3KS5,"37.8427155871, -97.3514413834"
3KS6,heliport,St Mary Hospital Heliport,1150,NA,US,US-KS,Manhattan,3KS6,3KS6,"39.20180130004883, -96.60079956054688"
3KS7,small_airport,Berwick Airport,1400,NA,US,US-KS,Valley Center,3KS7,3KS7,"37.829200744628906, -97.3488998413086"
3KS8,small_airport,Reed-Wilsonton Airport,920,NA,US,US-KS,Altamont,3KS8,3KS8,"37.256500244140625, -95.33360290527344"
3KY0,closed,Lamar Field,410,NA,US,US-KY,Hawesville,,,"37.896702, -86.789397"
3KY1,small_airport,Goode Airpark,395,NA,US,US-KY,Utica,3KY1,3KY1,"37.64139938354492, -87.13169860839844"
3KY2,small_airport,Chesnut Knolls Airport,1265,NA,US,US-KY,London,3KY2,3KY2,"37.151100158691406, -84.25749969482422"
3KY3,small_airport,Mason Valley Airport,510,NA,US,US-KY,Taylorsville,3KY3,3KY3,"38.038299560546875, -85.3593978881836"
3KY4,small_airport,Craw Daddy Landing Airport,460,NA,US,US-KY,Carrollton,3KY4,3KY4,"38.67279815673828, -85.18280029296875"
3KY5,heliport,Carroll County Hospital Heliport,480,NA,US,US-KY,Carrollton,3KY5,3KY5,"38.68330001831055, -85.16670227050781"
3KY6,closed,Russell Airport,430,NA,US,US-KY,Battletown,,,"38.0306, -86.231697"
3KY7,small_airport,Eagle's Nest Airport,450,NA,US,US-KY,Battletown,3KY7,3KY7,"38.10329818725586, -86.45690155029297"
3KY8,heliport,Fidelity Heliport,756,NA,US,US-KY,Covington,3KY8,3KY8,"39.02790069580078, -84.52439880371094"
3KY9,small_airport,Miles Field,850,NA,US,US-KY,Shelbyville,3KY9,3KY9,"38.125, -85.125"
3L1,closed,Charlie Hammonds Seaplane Base,5,NA,US,US-LA,Houma,,,"29.589899, -90.713402"
3L7,small_airport,Flying M Ranch Airport,830,NA,US,US-MI,Lincoln,3L7,3L7,"44.73830032348633, -83.37969970703125"
3LA0,small_airport,Harrington Flying Service Airport,10,NA,US,US-LA,Kaplan,3LA0,3LA0,"29.919700622558594, -92.24739837646484"
3LA1,small_airport,Wilder Airport,55,NA,US,US-LA,Kinder,3LA1,3LA1,"30.558500289916992, -92.8042984008789"
3LA2,seaplane_base,Southern Natural Gas Co. Seaplane Base,,NA,US,US-LA,Lacombe,3LA2,3LA2,"30.280799865722656, -89.9542007446289"
3LA3,small_airport,La Coste Construction County Airport,34,NA,US,US-LA,Baton Rouge,3LA3,3LA3,"30.502399444580078, -91.2428970336914"
3LA4,small_airport,Little Pecan Island Airport,7,NA,US,US-LA,Grand Chenier,3LA4,3LA4,"29.799701, -92.803563"
3LA5,closed,Petroleum Helicopters Heliport,10,NA,US,US-LA,Lake Charles,,,"30.2169, -93.153801"
3LA6,small_airport,Morgan Crop Service Nr 2 Airport,12,NA,US,US-LA,Lake Charles,3LA6,3LA6,"30.137699127197266, -93.07929992675781"
3LA7,heliport,Variable Bor Ram Heliport,30,NA,US,US-LA,Broussard,3LA7,3LA7,"30.076753, -91.948969"
3LA8,small_airport,Open A-1 Ranch Airport,16,NA,US,US-LA,Lake Charles,3LA8,3LA8,"30.138500213623047, -93.22789764404297"
3LA9,small_airport,Morgan Crop Service Airport,12,NA,US,US-LA,Lake Charles,3LA9,3LA9,"30.229400634765625, -93.0885009765625"
3LL0,small_airport,Miller Airport,760,NA,US,US-IL,South Beloit,3LL0,3LL0,"42.49169921875, -89.09590148925781"
3LL1,small_airport,Herschel Hunter Airport,470,NA,US,US-IL,Marissa,3LL1,3LL1,"38.2223014831543, -89.70429992675781"
3LL2,heliport,Hammond-Henry Hospital Heliport,650,NA,US,US-IL,Geneseo,3LL2,3LL2,"41.46110153198242, -90.15689849853516"
3LL3,small_airport,Kibler Airport,588,NA,US,US-IL,Marshall,3LL3,3LL3,"39.44609832763672, -87.64450073242188"
3LL4,small_airport,Pillow Hill Airport,815,NA,US,US-IL,Spring Grove,3LL4,3LL4,"42.447200775146484, -88.20149993896484"
3LL5,small_airport,Richardson Field,860,NA,US,US-IL,Spring Grove,3LL5,3LL5,"42.464500427246094, -88.23429870605469"
3LL6,small_airport,Bickel Airport,530,NA,US,US-IL,New Athens,3LL6,3LL6,"38.335, -89.769722"
3LL7,heliport,St Margarets Hospital Heliport,625,NA,US,US-IL,Spring Valley,3LL7,3LL7,"41.32500076293945, -89.19730377197266"
3LL8,small_airport,Mc Leansboro Airport,415,NA,US,US-IL,Mc Leansboro,3LL8,3LL8,"38.0741996765, -88.5375976562"
3LL9,small_airport,Compton Airport,535,NA,US,US-IL,Pocahontas,3LL9,3LL9,"38.80419921875, -89.60890197753906"
3LS7,small_airport,Bock Farms Airport,592,NA,US,US-IL,Williamsville,3LS7,3LS7,"39.98640060424805, -89.51170349121094"
3M0,small_airport,Gastons Airport,479,NA,US,US-AR,Lakeview,3M0,3M0,"36.34870147705078, -92.55709838867188"
3M1,heliport,Hermitage Lions Heliport,902,NA,US,US-MO,Hermitage,3M1,3M1,"37.947200775146484, -93.33360290527344"
3M5,small_airport,Moontown Airport,650,NA,US,US-AL,Huntsville,3M5,3M5,"34.74729919433594, -86.4614028930664"
3MA0,heliport,Compaq Woburn Heliport,80,NA,US,US-MA,Woburn,3MA0,3MA0,"42.50979995727539, -71.13639831542969"
3MA1,heliport,Marlborough Hospital Heliport,520,NA,US,US-MA,Marlborough,3MA1,3MA1,"42.356201171875, -71.55509948730469"
3MA2,small_airport,Baines Airport,1160,NA,US,US-MA,Middlefield,3MA2,3MA2,"42.316200256347656, -73.03199768066406"
3MA3,heliport,Seapuit Heliport,20,NA,US,US-MA,Barnstable,3MA3,3MA3,"41.61149978637695, -70.41529846191406"
3MA4,heliport,North Chatham Heliport,10,NA,US,US-MA,Chatham,3MA4,3MA4,"41.71480178833008, -69.96610260009766"
3MA5,small_airport,Westport Airport,80,NA,US,US-MA,Westport,3MA5,3MA5,"41.5432014465332, -71.0353012084961"
3MA6,heliport,Happy Heliport,127,NA,US,US-MA,Dartmouth,3MA6,3MA6,"41.58369827270508, -71.04060363769531"
3MA7,heliport,Gear Plant Heliport,10,NA,US,US-MA,Lynn,3MA7,3MA7,"42.452301025390625, -70.9655990600586"
3MA8,heliport,Sadler Hill Heliport,125,NA,US,US-MA,Gloucester,3MA8,3MA8,"42.62229919433594, -70.65229797363281"
3MA9,heliport,Marston Mills Heliport,10,NA,US,US-MA,Marston Mills,3MA9,3MA9,"41.64039993286133, -70.40779876708984"
3MD0,small_airport,Burhans Memorial Airport,490,NA,US,US-MD,Frederick,3MD0,3MD0,"39.348201751708984, -77.33609771728516"
3MD1,heliport,Southern Md Hospital Center Heliport,270,NA,US,US-MD,Clinton,3MD1,3MD1,"38.74810028, -76.87719727"
3MD2,heliport,Garrett County Memorial Hospital Heliport,2457,NA,US,US-MD,Oakland,3MD2,3MD2,"39.41320037841797, -79.40119934082031"
3MD3,heliport,Hoopers Heliport,3,NA,US,US-MD,Ocean City,3MD3,3MD3,"38.311500549316406, -75.12049865722656"
3MD4,small_airport,Fairview Airport,150,NA,US,US-MD,Annapolis,3MD4,3MD4,"38.97760009765625, -76.63939666748047"
3MD5,small_airport,Hidden Hills Airport,20,NA,US,US-MD,Hurlock,3MD5,3MD5,"38.62120056152344, -75.84130096435547"
3MD6,small_airport,West St Mary's Airport,50,NA,US,US-MD,Drayden,3MD6,3MD6,"38.18899917602539, -76.4468994140625"
3MD7,heliport,Green Terrace Heliport,310,NA,US,US-MD,Baltimore,3MD7,3MD7,"39.4025993347168, -76.50499725341797"
3MD8,small_airport,Pokety Airport,10,NA,US,US-MD,Cambridge,3MD8,3MD8,"38.612300872802734, -76.17109680175781"
3MD9,small_airport,Chandler Airport,17,NA,US,US-MD,Ridge,3MD9,3MD9,"38.11819839477539, -76.39129638671875"
3ME7,seaplane_base,Peru / Destiny Cove SPB,580,NA,US,US-ME,,3ME7,,"44.460597, -70.396957"
3ME8,seaplane_base,Mast Cove Seaplane Base,267,NA,US,US-ME,Naples,3ME8,3ME8,"43.994998931884766, -70.64129638671875"
3MI0,small_airport,Doss Field,1050,NA,US,US-MI,Lake George,3MI0,3MI0,"43.9370002746582, -85.02200317382812"
3MI1,closed,Fuller Heliport,1060,NA,US,US-MI,Milford,,,"42.5623, -83.659103"
3MI2,small_airport,South Fox Island Airport,616,NA,US,US-MI,Northport,3MI2,3MI2,"45.399200439453125, -85.8301010131836"
3MI3,heliport,Zayti Field Heliport,901,NA,US,US-MI,Novi,3MI3,3MI3,"42.440222, -83.515861"
3MI4,heliport,Clear Sky Heliport,980,NA,US,US-MI,Kalamazoo,3MI4,3MI4,"42.185001373291016, -85.7217025756836"
3MI5,small_airport,Innes Acres Airport,775,NA,US,US-MI,Decker,3MI5,3MI5,"43.45000076293945, -83.02770233154297"
3MI6,heliport,Highland Heliport,1040,NA,US,US-MI,Highland,3MI6,3MI6,"42.65700149536133, -83.65019989013672"
3MI7,small_airport,Willie Run Airport,1043,NA,US,US-MI,Ortonville,3MI7,3MI7,"42.829200744628906, -83.36859893798828"
3MI8,heliport,Bendix Heliport,715,NA,US,US-MI,Southfield,3MI8,3MI8,"42.48059844970703, -83.2477035522461"
3MI9,seaplane_base,Ness Landing Seaplane Base,580,NA,US,US-MI,Rapid River,3MI9,3MI9,"45.903900146484375, -86.97029876708984"
3MN0,seaplane_base,Shadduck Seaplane Base,991,NA,US,US-MN,Annandale,3MN0,3MN0,"45.292198181152344, -94.0947036743164"
3MN1,small_airport,Stahlberg-Mohr Airport,1380,NA,US,US-MN,Iron Junction,3MN1,3MN1,"47.44850158691406, -92.6448974609375"
3MN2,heliport,Mercy Hospital & Healthcare Center Heliport,1060,NA,US,US-MN,Moose Lake,3MN2,3MN2,"46.44070053100586, -92.77549743652344"
3MN3,closed,Honker Flats Airport,1190,NA,US,US-MN,Middle River,,,"48.538896, -95.952004"
3MN4,closed,Agri Helicopter Inc. Heliport,1148,NA,US,US-MN,Owatonna,,,"44.094101, -93.267997"
3MN5,closed,Little Rock/Rock Port Airport,1055,NA,US,US-MN,Rice,,,"45.723, -94.193901"
3MN6,heliport,Mayo Clinic Health System-Mankato Heliport,1076,NA,US,US-MN,Mankato,3MN6,3MN6,"44.163951, -93.983215"
3MN7,small_airport,Blue Sky Airport,927,NA,US,US-MN,Sabin,3MN7,3MN7,"46.800498962402344, -96.59500122070312"
3MN8,small_airport,Aysta Field,1024,NA,US,US-MN,St Cloud,3MN8,3MN8,"45.522701263427734, -94.122802734375"
3MN9,small_airport,Schumacher Airport,1020,NA,US,US-MN,Oster,3MN9,3MN9,"44.9844017029, -93.9360961914"
3MO,small_airport,Osceola Municipal Airport,900,NA,US,US-MO,Osceola,23MU,23MU,"38.018600463867, -93.693099975586"
3MO1,heliport,Police Department Helicopter Maint Facility Heliport,855,NA,US,US-MO,Kansas City,3MO1,3MO1,"39.0457992554, -94.49749755859999"
3MO2,small_airport,Ultra Flight Airpark,502,NA,US,US-MO,Berger,3MO2,3MO2,"38.69089889526367, -91.34100341796875"
3MO3,heliport,Research Medical Center Heliport,947,NA,US,US-MO,Kansas City,3MO3,3MO3,"39.00809860229492, -94.55819702148438"
3MO4,small_airport,Penman Airport,287,NA,US,US-MO,Portageville,3MO4,3MO4,"36.450599670410156, -89.62809753417969"
3MO5,small_airport,Nimsick Airport,1095,NA,US,US-MO,Carthage,3MO5,3MO5,"37.12810134887695, -94.21610260009766"
3MO6,small_airport,Kitty Hawk Estates Airport,1000,NA,US,US-MO,Kearney,3MO6,3MO6,"39.335601806640625, -94.48359680175781"
3MO7,small_airport,Fairbanks Airport,1083,NA,US,US-MO,King City,3MO7,3MO7,"40.08330154418945, -94.61689758300781"
3MO8,small_airport,Fizzle Ridge Airport,1096,NA,US,US-MO,King City,3MO8,3MO8,"40.031898498535156, -94.5376968383789"
3MO9,heliport,Quad State Helicopter Heliport,1080,NA,US,US-MO,King City,3MO9,3MO9,"40.03329849243164, -94.5376968383789"
3MS0,heliport,Grand Gulf Heliport,160,NA,US,US-MS,Port Gibson,3MS0,3MS0,"32.013999938964844, -91.0521011352539"
3MS1,small_airport,Thomas Field,485,NA,US,US-MS,Holly Springs,3MS1,3MS1,"34.80580139160156, -89.46089935302734"
3MS2,small_airport,Thunderfoot Ranch Airport,390,NA,US,US-MS,Tylertown,3MS2,3MS2,"31.079099655151367, -90.02839660644531"
3MS3,small_airport,Root Hog Airport,220,NA,US,US-MS,Flora,3MS3,3MS3,"32.515899658203125, -90.3511962890625"
3MS4,heliport,Pascagoula Naval Station Heliport,13,NA,US,US-MS,Pascagoula,3MS4,3MS4,"30.33839988708496, -88.57360076904297"
3MS5,small_airport,Mitchell's Airport,323,NA,US,US-MS,Vaiden,3MS5,3MS5,"33.30179977416992, -89.81430053710938"
3MS6,small_airport,E E Lane Airport,268,NA,US,US-MS,Flora,3MS6,3MS6,"32.554298400878906, -90.30290222167969"
3MS8,small_airport,Fairview Farms Airport,170,NA,US,US-MS,Scooba,3MS8,3MS8,"32.94219970703125, -88.3635025024414"
3MS9,small_airport,Union Municipal Airport,512,NA,US,US-MS,Union,3MS9,3MS9,"32.5806999206543, -89.13619995117188"
3MT3,small_airport,Three Cross Ranch Airport,3930,NA,US,US-MT,Ryegate,3MT3,3MT3,"46.125556, -109.365"
3MT6,small_airport,Nistler Airport,5035,NA,US,US-MT,Bozeman,3MT6,3MT6,"45.634272, -111.11433"
3N5,small_airport,Newton Airport,620,NA,US,US-NJ,Newton,3N5,3N5,"41.02730178833008, -74.75849914550781"
3N8,small_airport,Mahnomen County Airport,1244,NA,US,US-MN,Mahnomen,3N8,3N8,"47.2599983215332, -95.9281005859375"
3N9,small_airport,Alamo Navajo Airport,6460,NA,US,US-NM,Alamo,3N9,3N9,"34.36280059814453, -107.49600219726562"
3NA0,small_airport,Erickson Airport,1095,NA,US,US-ND,Clifford,3NA0,3NA0,"47.41669845581055, -97.5114974975586"
3NA2,small_airport,Lorentzen Airport,1790,NA,US,US-ND,Washburn,3NA2,3NA2,"47.302799224853516, -101.06700134277344"
3NA6,small_airport,Risovi Ranch Strip,1560,NA,US,US-ND,Hamberg,3NA6,3NA6,"47.770599365234375, -99.46179962158203"
3NA7,heliport,J. R. Heliport,1530,NA,US,US-ND,Kensal,3NA7,3NA7,"47.38610076904297, -98.71700286865234"
3NC0,small_airport,Clyde Valley Airport,1100,NA,US,US-NC,Morganton,3NC0,3NC0,"35.690399169921875, -81.7123031616211"
3NC1,small_airport,Welborn Farm Airport,1030,NA,US,US-NC,Boonville,3NC1,3NC1,"36.20539855957031, -80.65840148925781"
3NC2,heliport,Garner Road Heliport,375,NA,US,US-NC,Raleigh,3NC2,3NC2,"35.732111, -78.628722"
3NC3,small_airport,Tucker Field,645,NA,US,US-NC,Locust,3NC3,3NC3,"35.24689865112305, -80.40750122070312"
3NC4,small_airport,Mc Donald Field,545,NA,US,US-NC,Marshville,3NC4,3NC4,"35.05350113, -80.40899658"
3NC5,small_airport,Flying Bj Airport,1000,NA,US,US-NC,Stony Point,3NC5,3NC5,"35.812198638916016, -81.06999969482422"
3NC6,small_airport,Mc Cachren Field,565,NA,US,US-NC,Harrisburg,3NC6,3NC6,"35.3117980957, -80.644203186"
3NC7,small_airport,Maxwell Airport,3050,NA,US,US-NC,Sparta,3NC7,3NC7,"36.5192985534668, -81.13670349121094"
3NC8,heliport,Chinquapin Heliport,4200,NA,US,US-NC,Cashiers,3NC8,3NC8,"35.1579017639, -83.0670471191"
3NC9,small_airport,Womble Field,475,NA,US,US-NC,Chapel Hill,3NC9,3NC9,"35.875099182128906, -79.08719635009766"
3ND5,small_airport,Gage Flying Farmer Airport,1235,NA,US,US-ND,Oriska,3ND5,3ND5,"47.061100006103516, -97.77120208740234"
